ID habileté,UAA,type modal,geste,habileté
0e29efaa,uaa0,Méta,S'auto-évaluer,Je suis à même d'évaluer mon travail de préparation
3c7c3c71,uaa0,Méta,S'auto-évaluer,Je suis à même d'évaluer ma performance écrite ou orale
0cca1cbf,uaa0,Méta,S'auto-évaluer,Je suis à même d'évaluer mes besoins pour m'améliorer
71cc5c10,uaa0,Méta,S'auto-évaluer,Je suis à même d'écouter de manière critique les remarques des autres
25f72660,uaa0,Ecrire,Expliciter sa démarche,"J’explicite mes choix de mise en scène (théatre, affiche, rêcit)"
d0853f4d,uaa0,Lire,Comprendre les consignes,
e28d3901,uaa0,Ecrire,Utiliser ses connaissances,Je suis capable d’appuyer mes justifications ou mon explicitation sur mes connaissances
85d5a34d,uaa0,Ecrire,Planifier sa démarche,Je suis à même de planifier les étapes de mon travail
860722a0,uaa0,Ecrire,Expliciter sa démarche,J’explicite mes méthodes de recherche
d4f6e3e8,uaa0,Ecrire,Justifier ses réponses,Je justifie mes choix dans tout type de résumé
6befe47e,uaa0,Ecrire,Justifier ses réponses,"Je justifie mes choix de classement (poèmes, etc)"
f129d29c,uaa1,Lire,Colliger des documents/sites,Je suis capable d'organiser une veille numérique
53c6614e,uaa1,Ecrire,Colliger des documents/sites,Je suis capable de référencer mes sources
d79c5236,uaa1,Lire,Penser de manière critique,Je suis capable de distinguer une source fiable d’une autre qui ne l’est pas
d646a567,uaa1,Lire,Penser de manière critique,Je suis capable d’identifier une fake news ou une pseudo-théorie scientifique en comparant des informations de provenance diverse
5ba31b8f,uaa1,Lire,Penser de manière critique,Je suis à même d’identifier les idées pertinentes par rapport à mon thème de recherche
66f1c05b,uaa1,Lire,Penser de manière critique,Je suis capable d’identifier la licence associée à un document (copyright/copyleft)
b10da299,uaa1,Ecrire,Reformuler les informations trouvées,Je suis à même de  proposer une réponse à la question de recherche
55c37f6d,uaa1,Lire,Naviguer dans un document,Je suis capable de m’orienter sur Internet en fonction d’un thème de recherche
f2c611d7,uaa1,Lire,Naviguer dans un document,Je suis capable de m’orienter rapidement dans un portefeuille de documents
33a63a3c,uaa2,Lire,Comprendre l'intention de l'auteur,"Je suis capable de distinguer un texte informatif d'un texte narratif, poétique ou injonctif"
493fea19,uaa2,Lire,Comprendre l'intention de l'auteur,Je suis capable de distinguer un fait d'une opinion
Qqh1wC1563,uaa2,Lire,Comprendre l'intention de l'auteur,Je maîtrise la structure d'un texte argumentatif
a5e77de3,uaa2,Lire,Respecter la pensée de l'auteur,Je suis capable de comprendre le sens global d'un document
704350de,uaa2,Lire,Respecter la pensée de l'auteur,Je suis capable de décoder le sens des phrases
2416511f,uaa2,Lire,Identifier les idées essentielles,Je suis capable de supprimer tout ce qui se répète
62ba371c,uaa2,Lire,Identifier les idées essentielles,Je suis capable d'inférer le sens caché derrière une image
40f00c4c,uaa2,Lire,Identifier les idées essentielles,Je suis capable de supprimer tout ce qui est secondaire
2187e97b,uaa2,Lire,Identifier les idées essentielles,Je suis capable d'identifier les mots-clés et les phrases synthétiques
06ef59a5,uaa2,Lire,Hiérarchiser les idées,Je suis capable de repérer et d'identifier les organisateurs de texte
a55d5c05,uaa2,Lire,Hiérarchiser les idées,"Je suis capable de créer un sommaire, plan hiérarchisé"
4402181d,uaa2,Lire,Hiérarchiser les idées,Je suis capable de repérer et d'identifier les liens entre propositions
22da9f67,uaa2,Lire,Hiérarchiser les idées,Je suis capable de dsitnguer les différents types de résumé
eNtZIC7849,uaa2,Ecrire,Hiérarchiser les idées,Je suis capable d'écrire un résumé en focntion du genre pratiqué
5a29b6a8,uaa2,Ecrire,Reformuler sous la forme d’un résumé,Je suis capable d'user des techniques de contraction pour l'écriture
7dcaed51,uaa2,Ecrire,Reformuler sous la forme d’un résumé,Je suis capable de reformuler les idées de manière concise
83f8a567,uaa2,Lire,Comparer les idées à travers un tableau,Je suis capable de sélectionner les idées de ces auteurs en fonction d'un thème
2e836ff7,uaa2,Lire,Comparer les idées à travers un tableau,Je suis capable de repérer les critères de comparaison
67ad1091,uaa2,Lire,Comparer les idées à travers un tableau,Je suis capable de repérer les points communs entre auteurs
1a93f266,uaa2,Lire,Comparer les idées à travers un tableau,Je suis capable d'identifier les différences entre auteurs
a0dcdcf3,uaa3,Lire,Distinction des propositions,"Je distingue faits, opinions"
379d3ee0,uaa3,Lire,Distinction des propositions,"Je distingue thème & thèse, arguments, contre-arguments et exemples"
YmhrD95246,uaa4,Parler,Demander à un professeur quelque chose,Je négocie avec mon professeur 
EmU5189098,uaa4,Parler,Demander à un juge la révision d'un procès,Je suis capable de défendre quelqu'un à travers un jeu de rôles
B6BPHH4604,uaa4,Parler,Demander à une personne extérieure à la classe quelque chose,Je négocie une demande avec quelqu'un d'extérieur à la classe
35dfgd34,uaa5,Ecrire,Transposer un texte sous une autre forme multimodale,Je suis à même de transposer du texte à la scène
1f9bcbf6,uaa5,Ecrire,Transposer un texte sous une autre forme multimodale,Je passe du texte à l’affiche ou à la bd
d689b61c,uaa5,Ecrire,Transposer un texte sous une autre forme multimodale,Je passe du texte à la vidéo
882084d5,uaa5,Ecrire,Transposer un texte sous une autre forme multimodale,Je passe du texte à la musique
b0844186,uaa5,Ecrire,Transposer un texte sous une autre forme multimodale,Je passe de la vidéo-chanson-BD à l’écrit
